x [Å]	y [Å]	z [Å]	F [nN]	
79	0	5	-2.53127e+12
79.032	0	5	-2.53127e+12
79.064	0	5	-2.53127e+12
79.096	0	5	-2.53127e+12
79.128	0	5	-2.53127e+12
79.16	0	5	-2.53127e+12
79.192	0	5	-2.53126e+12
79.224	0	5	-2.53126e+12
79.256	0	5	-2.53126e+12
79.288	0	5	-2.53126e+12
79.32	0	5	-2.53126e+12
79.352	0	5	-2.53126e+12
79.384	0	5	-2.53126e+12
79.416	0	5	-2.53125e+12
79.448	0	5	-2.53125e+12
79.48	0	5	-2.53124e+12
79.512	0	5	-2.53123e+12
79.544	0	5	-2.53122e+12
79.576	0	5	-2.5312e+12
79.608	0	5	-2.53117e+12
79.64	0	5	-2.53113e+12
79.672	0	5	-2.53106e+12
79.704	0	5	-2.53096e+12
79.736	0	5	-2.5308e+12
79.768	0	5	-2.53056e+12
79.8	0	5	-2.53017e+12
79.832	0	5	-2.52954e+12
79.864	0	5	-2.52853e+12
79.896	0	5	-2.52687e+12
79.928	0	5	-2.52411e+12
79.96	0	5	-2.51948e+12
79.992	0	5	-2.51162e+12
80.024	0	5	-2.49817e+12
80.056	0	5	-2.47494e+12
80.088	0	5	-2.43453e+12
80.12	0	5	-2.36397e+12
80.152	0	5	-2.24059e+12
80.184	0	5	-2.02546e+12
80.216	0	5	-1.65352e+12
80.248	0	5	-1.02021e+12
80.28	0	5	3.23698e+10
80.312	0	5	1.72114e+12
80.344	0	5	4.3008e+12
80.376	0	5	7.98866e+12
80.408	0	5	1.28169e+13
80.44	0	5	1.84412e+13
80.472	0	5	2.40192e+13
80.504	0	5	2.83286e+13
80.536	0	5	3.01978e+13
80.568	0	5	2.90624e+13
80.6	0	5	2.52692e+13
80.632	0	5	1.98868e+13
80.664	0	5	1.41756e+13
80.696	0	5	9.09694e+12
80.728	0	5	5.11492e+12
80.76	0	5	2.27383e+12
80.792	0	5	3.86107e+11
80.824	0	5	-8.03353e+11
80.856	0	5	-1.52455e+12
80.888	0	5	-1.9503e+12
80.92	0	5	-2.19731e+12
80.952	0	5	-2.3392e+12
80.984	0	5	-2.42037e+12
81.016	0	5	-2.46681e+12
81.048	0	5	-2.49347e+12
81.08	0	5	-2.50888e+12
81.112	0	5	-2.51785e+12
81.144	0	5	-2.52312e+12
81.176	0	5	-2.52624e+12
81.208	0	5	-2.52811e+12
81.24	0	5	-2.52923e+12
81.272	0	5	-2.52991e+12
81.304	0	5	-2.53031e+12
81.336	0	5	-2.53055e+12
81.368	0	5	-2.53069e+12
81.4	0	5	-2.53076e+12
81.432	0	5	-2.53078e+12
81.464	0	5	-2.53078e+12
81.496	0	5	-2.53076e+12
81.528	0	5	-2.53073e+12
81.56	0	5	-2.5307e+12
81.592	0	5	-2.53067e+12
81.624	0	5	-2.53064e+12
81.656	0	5	-2.53062e+12
81.688	0	5	-2.53061e+12
81.72	0	5	-2.53061e+12
81.752	0	5	-2.53062e+12
81.784	0	5	-2.53064e+12
81.816	0	5	-2.53067e+12
81.848	0	5	-2.5307e+12
81.88	0	5	-2.53075e+12
81.912	0	5	-2.53079e+12
81.944	0	5	-2.53084e+12
81.976	0	5	-2.53089e+12
82.008	0	5	-2.53093e+12
82.04	0	5	-2.53097e+12
82.072	0	5	-2.53101e+12
82.104	0	5	-2.53104e+12
82.136	0	5	-2.53107e+12
82.168	0	5	-2.53109e+12
82.2	0	5	-2.53111e+12
82.232	0	5	-2.53112e+12
82.264	0	5	-2.53113e+12
82.296	0	5	-2.53113e+12
82.328	0	5	-2.53114e+12
82.36	0	5	-2.53114e+12
82.392	0	5	-2.53113e+12
82.424	0	5	-2.53113e+12
82.456	0	5	-2.53113e+12
82.488	0	5	-2.53113e+12
82.52	0	5	-2.53113e+12
82.552	0	5	-2.53113e+12
82.584	0	5	-2.53113e+12
82.616	0	5	-2.53113e+12
82.648	0	5	-2.53113e+12
82.68	0	5	-2.53114e+12
82.712	0	5	-2.53114e+12
82.744	0	5	-2.53115e+12
82.776	0	5	-2.53116e+12
82.808	0	5	-2.53117e+12
82.84	0	5	-2.53118e+12
82.872	0	5	-2.53119e+12
82.904	0	5	-2.5312e+12
82.936	0	5	-2.5312e+12
82.968	0	5	-2.53121e+12
83	0	5	-2.53122e+12
83.032	0	5	-2.53123e+12
83.064	0	5	-2.53123e+12
83.096	0	5	-2.53124e+12
83.128	0	5	-2.53124e+12
83.16	0	5	-2.53124e+12
83.192	0	5	-2.53125e+12
83.224	0	5	-2.53125e+12
83.256	0	5	-2.53125e+12
83.288	0	5	-2.53125e+12
83.32	0	5	-2.53125e+12
83.352	0	5	-2.53125e+12
83.384	0	5	-2.53124e+12
83.416	0	5	-2.53124e+12
83.448	0	5	-2.53124e+12
83.48	0	5	-2.53123e+12
83.512	0	5	-2.53123e+12
83.544	0	5	-2.53122e+12
83.576	0	5	-2.53122e+12
83.608	0	5	-2.53121e+12
83.64	0	5	-2.5312e+12
83.672	0	5	-2.5312e+12
83.704	0	5	-2.53119e+12
83.736	0	5	-2.53118e+12
83.768	0	5	-2.53117e+12
83.8	0	5	-2.53117e+12
83.832	0	5	-2.53116e+12
83.864	0	5	-2.53115e+12
83.896	0	5	-2.53115e+12
83.928	0	5	-2.53115e+12
83.96	0	5	-2.53115e+12
83.992	0	5	-2.53115e+12
84.024	0	5	-2.53115e+12
84.056	0	5	-2.53115e+12
84.088	0	5	-2.53116e+12
84.12	0	5	-2.53117e+12
84.152	0	5	-2.53117e+12
84.184	0	5	-2.53118e+12
84.216	0	5	-2.53119e+12
84.248	0	5	-2.5312e+12
84.28	0	5	-2.5312e+12
84.312	0	5	-2.53121e+12
84.344	0	5	-2.53122e+12
84.376	0	5	-2.53123e+12
84.408	0	5	-2.53123e+12
84.44	0	5	-2.53124e+12
84.472	0	5	-2.53124e+12
84.504	0	5	-2.53124e+12
84.536	0	5	-2.53125e+12
84.568	0	5	-2.53125e+12
84.6	0	5	-2.53125e+12
84.632	0	5	-2.53126e+12
84.664	0	5	-2.53126e+12
84.696	0	5	-2.53126e+12
84.728	0	5	-2.53126e+12
84.76	0	5	-2.53126e+12
84.792	0	5	-2.53126e+12
84.824	0	5	-2.53126e+12
84.856	0	5	-2.53126e+12
84.888	0	5	-2.53126e+12
84.92	0	5	-2.53126e+12
84.952	0	5	-2.53126e+12
84.984	0	5	-2.53126e+12
85.016	0	5	-2.53126e+12
85.048	0	5	-2.53126e+12
85.08	0	5	-2.53126e+12
85.112	0	5	-2.53126e+12
85.144	0	5	-2.53126e+12
85.176	0	5	-2.53126e+12
85.208	0	5	-2.53126e+12
85.24	0	5	-2.53126e+12
85.272	0	5	-2.53126e+12
85.304	0	5	-2.53126e+12
85.336	0	5	-2.53125e+12
85.368	0	5	-2.53125e+12
85.4	0	5	-2.53124e+12
85.432	0	5	-2.53124e+12
85.464	0	5	-2.53123e+12
85.496	0	5	-2.53122e+12
85.528	0	5	-2.5312e+12
85.56	0	5	-2.53119e+12
85.592	0	5	-2.53117e+12
85.624	0	5	-2.53114e+12
85.656	0	5	-2.53111e+12
85.688	0	5	-2.53106e+12
85.72	0	5	-2.53101e+12
85.752	0	5	-2.53095e+12
85.784	0	5	-2.53088e+12
85.816	0	5	-2.53079e+12
85.848	0	5	-2.53069e+12
85.88	0	5	-2.53056e+12
85.912	0	5	-2.5304e+12
85.944	0	5	-2.53022e+12
85.976	0	5	-2.52998e+12
86.008	0	5	-2.52967e+12
86.04	0	5	-2.52927e+12
86.072	0	5	-2.52872e+12
86.104	0	5	-2.52796e+12
86.136	0	5	-2.52687e+12
86.168	0	5	-2.5253e+12
86.2	0	5	-2.52305e+12
86.232	0	5	-2.5198e+12
86.264	0	5	-2.51516e+12
86.296	0	5	-2.50863e+12
86.328	0	5	-2.49957e+12
86.36	0	5	-2.48732e+12
86.392	0	5	-2.47121e+12
86.424	0	5	-2.45075e+12
86.456	0	5	-2.42584e+12
86.488	0	5	-2.39703e+12
86.52	0	5	-2.36574e+12
86.552	0	5	-2.33433e+12
86.584	0	5	-2.30593e+12
86.616	0	5	-2.28396e+12
86.648	0	5	-2.27144e+12
