x [Å]	y [Å]	z [Å]	F [nN]	
71	-7	5	-8.88341e+16
71	-6.944	5	-8.88341e+16
71	-6.888	5	-8.88341e+16
71	-6.832	5	-8.88341e+16
71	-6.776	5	-8.88341e+16
71	-6.72	5	-8.88341e+16
71	-6.664	5	-8.88341e+16
71	-6.608	5	-8.88341e+16
71	-6.552	5	-8.88341e+16
71	-6.496	5	-8.88341e+16
71	-6.44	5	-8.88341e+16
71	-6.384	5	-8.88341e+16
71	-6.328	5	-8.88341e+16
71	-6.272	5	-8.88341e+16
71	-6.216	5	-8.88341e+16
71	-6.16	5	-8.88341e+16
71	-6.104	5	-8.88341e+16
71	-6.048	5	-8.88341e+16
71	-5.992	5	-8.88341e+16
71	-5.936	5	-8.88341e+16
71	-5.88	5	-8.88341e+16
71	-5.824	5	-8.88341e+16
71	-5.768	5	-8.88341e+16
71	-5.712	5	-8.88341e+16
71	-5.656	5	-8.88341e+16
71	-5.6	5	-8.88341e+16
71	-5.544	5	-8.88341e+16
71	-5.488	5	-8.88341e+16
71	-5.432	5	-8.88341e+16
71	-5.376	5	-8.88341e+16
71	-5.32	5	-8.88341e+16
71	-5.264	5	-8.88341e+16
71	-5.208	5	-8.88341e+16
71	-5.152	5	-8.88341e+16
71	-5.096	5	-8.88341e+16
71	-5.04	5	-8.88341e+16
71	-4.984	5	-8.88341e+16
71	-4.928	5	-8.88341e+16
71	-4.872	5	-8.88341e+16
71	-4.816	5	-8.88341e+16
71	-4.76	5	-8.88341e+16
71	-4.704	5	-8.88341e+16
71	-4.648	5	-8.88341e+16
71	-4.592	5	-8.88341e+16
71	-4.536	5	-8.88341e+16
71	-4.48	5	-8.88341e+16
71	-4.424	5	-8.88341e+16
71	-4.368	5	-8.88341e+16
71	-4.312	5	-8.88341e+16
71	-4.256	5	-8.88341e+16
71	-4.2	5	-8.88341e+16
71	-4.144	5	-8.88341e+16
71	-4.088	5	-8.88341e+16
71	-4.032	5	-8.88341e+16
71	-3.976	5	-8.88341e+16
71	-3.92	5	-8.88341e+16
71	-3.864	5	-8.88341e+16
71	-3.808	5	-8.88341e+16
71	-3.752	5	-8.88341e+16
71	-3.696	5	-8.88341e+16
71	-3.64	5	-8.88341e+16
71	-3.584	5	-8.88341e+16
71	-3.528	5	-8.88341e+16
71	-3.472	5	-8.88341e+16
71	-3.416	5	-8.88341e+16
71	-3.36	5	-8.88341e+16
71	-3.304	5	-8.88341e+16
71	-3.248	5	-8.88341e+16
71	-3.192	5	-8.88341e+16
71	-3.136	5	-8.88341e+16
71	-3.08	5	-8.88341e+16
71	-3.024	5	-8.88341e+16
71	-2.968	5	-8.88341e+16
71	-2.912	5	-8.88341e+16
71	-2.856	5	-8.88341e+16
71	-2.8	5	-8.88341e+16
71	-2.744	5	-8.88341e+16
71	-2.688	5	-8.88341e+16
71	-2.632	5	-8.88341e+16
71	-2.576	5	-8.88341e+16
71	-2.52	5	-8.88341e+16
